X,Y,OBJECTID,location,county,feedID,url,iframe,lat,long
-8503572.3371,4720926.7446,1,WPL C506 at Gantry S-9 MP 33.6,Anne Arundel County,dd0157c42d7c001300503336c4235c0a,https://chart.maryland.gov/video/video.php?feed=dd0157c42d7c001300503336c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=dd0157c42d7c001300503336c4235c0a"" frame border=""0"" allowfullscreen></iframe>",38.9948,-76.38889
-8540381.2399,4753624.6994,2,I895 @ I95 Interchange (South Baltimore - C043-Cen)MP 0.3,Howard County,c200dc0dc37401b8004606363d235daa,https://chart.maryland.gov/video/video.php?feed=c200dc0dc37401b8004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=c200dc0dc37401b8004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.22272,-76.71955
-8461942.1871,4809275.0224,3,I-95 S of Chesapeake H. (C006) MP 96.1,Cecil County,c201714c00e30039004606363d235daa,https://chart.maryland.gov/video/video.php?feed=c201714c00e30039004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=c201714c00e30039004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.608932,-76.01492
-8504145.6324,4792419.3594,4,US 1 AT MD 152,Harford County,dbff0b9400bf00580045e2369e235daa,https://chart.maryland.gov/video/video.php?feed=dbff0b9400bf00580045e2369e235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=dbff0b9400bf00580045e2369e235daa"" frame border=""0"" allowfullscreen></iframe>",39.49218,-76.39404
-8600047.3738,4748081.7574,5,I-270 & Germantown Rd (MD 118),Montgomery County,8601655500f60074004d823633235daa,https://chart.maryland.gov/video/video.php?feed=8601655500f60074004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=8601655500f60074004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.184135,-77.25554
-8603324.6196,4754885.7003,6,I-270 AT MD 121 CLARKSBURG RD,Montgomery County,2d00cd8100080075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=2d00cd8100080075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=2d00cd8100080075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",39.231495,-77.28498
-8532189.9065,4743557.0031,7,I-97 AT MD 100 | 502018,Anne Arundel County,bb01295800f700d700437a45351f0214,https://chart.maryland.gov/video/video.php?feed=bb01295800f700d700437a45351f0214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=bb01295800f700d700437a45351f0214"" frame border=""0"" allowfullscreen></iframe>",39.152622,-76.645966
-8467019.4691,4689087.2249,8,US 50 AT MD 331,Talbot County,6d0027da0096007b00488436cf235d0a,https://chart.maryland.gov/video/video.php?feed=6d0027da0096007b00488436cf235d0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=6d0027da0096007b00488436cf235d0a"" frame border=""0"" allowfullscreen></iframe>",38.772156,-76.06053
-8582156.1052,4719463.0305,9,East-West Hwy (MD 410) & Wisconsin Ave (MD 355),Montgomery County,efff918500020075004d823633235daa,https://chart.maryland.gov/video/video.php?feed=efff918500020075004d823633235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=efff918500020075004d823633235daa"" frame border=""0"" allowfullscreen></iframe>",38.98458,-77.09482
-8535043.4703,4759394.6913,10,I-95 S of Caton Ave Ex 50 (C032) - MP 49.9,Baltimore City,cc006eaf019000e300441a366e230214,https://chart.maryland.gov/video/video.php?feed=cc006eaf019000e300441a366e230214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=cc006eaf019000e300441a366e230214"" frame border=""0"" allowfullscreen></iframe>",39.262863,-76.6716
-8473500.4898,4804577.7872,11,I-95 S of Tydings Br. (C011) MP 90.0,Harford County,9d016d2b00e30039004606363d235daa,https://chart.maryland.gov/video/video.php?feed=9d016d2b00e30039004606363d235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=9d016d2b00e30039004606363d235daa"" frame border=""0"" allowfullscreen></iframe>",39.576416,-76.11875
-8379062.5998,4631615.5137,12,US 50 E AT MD 90,Worcester County,58004a9f0099007b00488436cf235d0a,https://chart.maryland.gov/video/video.php?feed=58004a9f0099007b00488436cf235d0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=58004a9f0099007b00488436cf235d0a"" frame border=""0"" allowfullscreen></iframe>",38.36851,-75.2704
-8517680.4127,4720785.8063,13,US 50 AT Ex 24 MD 70 Rowe Blvd,Anne Arundel County,fa0017fb008d004b004af03676235daa,https://chart.maryland.gov/video/video.php?feed=fa0017fb008d004b004af03676235daa,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=fa0017fb008d004b004af03676235daa"" frame border=""0"" allowfullscreen></iframe>",38.993816,-76.515625
-8642767.3415,4805938.9438,14,I-70 AT EXIT 35 MD 66 MAPLEVILLE RD (WB),Washington County,bd00eec8003600fd0057fa36c4235c0a,https://chart.maryland.gov/video/video.php?feed=bd00eec8003600fd0057fa36c4235c0a,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=bd00eec8003600fd0057fa36c4235c0a"" frame border=""0"" allowfullscreen></iframe>",39.58584,-77.6393
-8588498.4219,4723004.3784,15,I-495 AT BRADLEY BLVD,Montgomery County,1f018d5800f700d700437a45351f0214,https://chart.maryland.gov/video/video.php?feed=1f018d5800f700d700437a45351f0214,"<iframe width=""484"" height=""364"" src=""https://chart.maryland.gov/video/video.php?feed=1f018d5800f700d700437a45351f0214"" frame border=""0"" allowfullscreen></iframe>",39.009304,-77.151794
